# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCHAG00000024449	ENSCHAG00000024449	ENSCHAT00000058099	protein_coding	0	2	0	35	0	0	0	12	21	0	0	1	0	1	3
ENSCHAG00000024499	ENSCHAG00000024499	ENSCHAT00000058214		0	0	0	3	0	0	0	1	2	0	0	0	0	0	0
ENSCHAG00000024511	ENSCHAG00000024511	ENSCHAT00000058252	protein_coding	0	0	0	7	0	0	0	6	0	0	0	0	0	0	1
ENSCHAG00000024516	ENSCHAG00000024516	ENSCHAT00000058260		0	0	0	14	0	0	0	6	2	0	2	0	0	0	4
ENSCHAG00000024516	ENSCHAG00000024516	ENSCHAT00000058261		0	0	0	12	0	0	0	4	2	0	2	0	0	0	4
ENSCHAG00000024521	ENSCHAG00000024521	ENSCHAT00000058268	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3
ENSCHAG00000025088	ENSCHAG00000025088	ENSCHAT00000059726	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000025088	ENSCHAG00000025088	ENSCHAT00000059739	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3
ENSCHAG00000025093	ENSCHAG00000025093	ENSCHAT00000059744	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000025098	ENSCHAG00000025098	ENSCHAT00000059753	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000025098	ENSCHAG00000025098	ENSCHAT00000059760	protein_coding	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSCHAG00000025183	ENSCHAG00000025183	ENSCHAT00000059976		0	0	0	7	0	0	0	0	0	0	0	0	0	0	7
ENSCHAG00000025184	ENSCHAG00000025184	ENSCHAT00000059982	protein_coding	0	1	1	21	0	0	0	16	5	1	0	0	0	1	0
ENSCHAG00000025189	ENSCHAG00000025189	ENSCHAT00000059988	protein_coding	0	1	0	10	0	0	2	0	2	0	0	0	0	1	6
ENSCHAG00000025192	ENSCHAG00000025192	ENSCHAT00000059998	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
ENSCHAG00000025369	ENSCHAG00000025369	ENSCHAT00000060424	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0
ENSCHAG00000025369	ENSCHAG00000025369	ENSCHAT00000060431	protein_coding	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0
ENSCHAG00000025386	ENSCHAG00000025386	ENSCHAT00000060438	scaRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000025387	ENSCHAG00000025387	ENSCHAT00000060439	scaRNA	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
ENSCHAG00000025391	ENSCHAG00000025391	ENSCHAT00000060449	protein_coding	0	1	0	4	0	0	0	1	3	0	0	0	0	1	0
ENSCHAG00000025405	ENSCHAG00000025405	ENSCHAT00000060474	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000025461	ENSCHAG00000025461	ENSCHAT00000060605	protein_coding	0	0	0	8	0	0	0	0	7	0	0	0	0	0	1
ENSCHAG00000025462	ENSCHAG00000025462	ENSCHAT00000060610	protein_coding	0	0	0	11	0	0	0	0	11	0	0	0	0	0	0
ENSCHAG00000025511	ENSCHAG00000025511	ENSCHAT00000060744	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000025519	ENSCHAG00000025519	ENSCHAT00000060753	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061080	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061123	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061126	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061159	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061172	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061184	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025536	ENSCHAG00000025536	ENSCHAT00000061217	protein_coding	0	0	0	15	0	0	0	0	8	0	0	0	0	0	7
ENSCHAG00000025546	ENSCHAG00000025546	ENSCHAT00000060818	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000025549	ENSCHAG00000025549	ENSCHAT00000060825	protein_coding	0	0	0	4	0	0	0	1	3	0	0	0	0	0	0
ENSCHAG00000025554	ENSCHAG00000025554	ENSCHAT00000060829	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000025554	ENSCHAG00000025554	ENSCHAT00000060830	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
ENSCHAG00000025557	ENSCHAG00000025557	ENSCHAT00000060840	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
ENSCHAG00000025559	ENSCHAG00000025559	ENSCHAT00000060844	protein_coding	0	0	0	11	0	0	0	5	0	0	0	0	0	0	6
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060860	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060863	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060866	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060867	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060871	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060879	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060887	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060892	protein_coding	0	0	0	17	0	0	0	0	12	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060901	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	5
ENSCHAG00000025565	ENSCHAG00000025565	ENSCHAT00000060907	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
ENSCHAG00000025582	ENSCHAG00000025582	ENSCHAT00000060922	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000025582	ENSCHAG00000025582	ENSCHAT00000060929	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000025582	ENSCHAG00000025582	ENSCHAT00000060933	protein_coding	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0
ENSCHAG00000025681	ENSCHAG00000025681	ENSCHAT00000061223	protein_coding	0	0	0	14	0	0	0	7	0	0	0	0	0	0	7
ENSCHAG00000025681	ENSCHAG00000025681	ENSCHAT00000061227	protein_coding	0	0	0	9	0	0	0	7	0	0	0	0	0	0	2
ENSCHAG00000025687	ENSCHAG00000025687	ENSCHAT00000061231		0	0	0	14	0	0	0	8	0	0	0	0	0	0	6
ENSCHAG00000025696	ENSCHAG00000025696	ENSCHAT00000061252	protein_coding	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0
ENSCHAG00000025699	ENSCHAG00000025699	ENSCHAT00000061259	protein_coding	0	0	2	8	0	0	0	5	0	2	0	0	0	0	3
ENSCHAG00000025702	ENSCHAG00000025702	ENSCHAT00000061264		0	0	0	21	0	0	0	13	0	0	7	0	0	0	1
ENSCHAG00000025791	ENSCHAG00000025791	ENSCHAT00000061540	protein_coding	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0
ENSCHAG00000026271	ENSCHAG00000026271	ENSCHAT00000062848	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000026275	ENSCHAG00000026275	ENSCHAT00000062853	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000026290	ENSCHAG00000026290	ENSCHAT00000062881	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
ENSCHAG00000026299	ENSCHAG00000026299	ENSCHAT00000062913	protein_coding	0	0	0	5	0	0	0	3	2	0	0	0	0	0	0
ENSCHAG00000026302	ENSCHAG00000026302	ENSCHAT00000062919	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067095	protein_coding	0	0	0	39	0	0	0	0	39	0	0	0	0	0	0
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067096	protein_coding	0	0	0	39	0	0	0	0	38	0	0	0	0	0	1
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067098	protein_coding	0	0	0	39	0	0	0	0	37	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067100	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067102	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067104	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067106	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067109	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067112	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ENSCHAG00000027691	ENSCHAG00000027691	ENSCHAT00000067114	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
INHBB	ENSCHAG00000025084	ENSCHAT00000059708	protein_coding	0	0	0	4	0	0	0	0	1	0	0	0	0	0	3
IWS1	ENSCHAG00000024200	ENSCHAT00000057377	protein_coding	0	0	0	21	1	0	0	3	13	0	0	0	0	0	4
IWS1	ENSCHAG00000024200	ENSCHAT00000057398	protein_coding	0	0	0	17	0	0	0	3	14	0	0	0	0	0	0
KCNN1	ENSCHAG00000006218	ENSCHAT00000013086	protein_coding	0	1	0	12	0	0	0	5	7	0	0	1	0	0	1
KCNN1	ENSCHAG00000006218	ENSCHAT00000013109	protein_coding	0	1	0	12	0	0	0	5	7	0	0	1	0	0	1
KCNN1	ENSCHAG00000006218	ENSCHAT00000013137	protein_coding	0	1	0	9	0	0	0	5	5	0	0	1	0	0	0
KCNN1	ENSCHAG00000006218	ENSCHAT00000013162	protein_coding	0	1	0	9	0	0	0	5	5	0	0	1	0	0	0
KCNN1	ENSCHAG00000006218	ENSCHAT00000013215	protein_coding	0	1	0	9	0	0	0	5	5	0	0	1	0	0	0
KCNN1	ENSCHAG00000006218	ENSCHAT00000013280	protein_coding	0	1	0	9	0	0	0	5	2	0	0	1	0	0	3
LHFPL6	ENSCHAG00000024203	ENSCHAT00000057333	protein_coding	0	0	0	12	0	0	0	5	7	0	0	0	0	0	0
LRRC10B	ENSCHAG00000005872	ENSCHAT00000011350	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
MAPKAPK2	ENSCHAG00000021388	ENSCHAT00000050025	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
MAPKAPK2	ENSCHAG00000021388	ENSCHAT00000050448	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
MAPKAPK2	ENSCHAG00000021388	ENSCHAT00000050477	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
MAPKAPK2	ENSCHAG00000021388	ENSCHAT00000050494	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
MAPKAPK2	ENSCHAG00000021388	ENSCHAT00000050525	protein_coding	0	0	0	3	0	0	0	0	2	0	0	0	0	0	1
MINAR2	ENSCHAG00000012382	ENSCHAT00000027597	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4
MINAR2	ENSCHAG00000012382	ENSCHAT00000027615	protein_coding	0	0	0	5	0	0	0	1	0	0	0	0	0	0	4
NDUFA7	ENSCHAG00000004889	ENSCHAT00000008997	protein_coding	0	0	0	12	0	0	0	4	2	0	0	0	0	0	6
NEK3	ENSCHAG00000024196	ENSCHAT00000057313	protein_coding	0	0	0	18	1	0	0	4	7	0	0	0	0	0	6
NELL1	ENSCHAG00000001429	ENSCHAT00000010635	protein_coding	0	1	0	60	0	0	0	0	49	0	0	0	0	1	11
NELL1	ENSCHAG00000001429	ENSCHAT00000010744	protein_coding	0	1	0	60	0	0	0	0	49	0	0	0	0	1	11
NELL1	ENSCHAG00000001429	ENSCHAT00000010778	protein_coding	0	1	0	60	0	0	0	0	49	0	0	0	0	1	11
NELL1	ENSCHAG00000001429	ENSCHAT00000010824	protein_coding	0	1	0	58	0	0	0	0	49	0	0	0	0	1	9
NELL1	ENSCHAG00000001429	ENSCHAT00000010890	protein_coding	0	1	0	38	0	0	0	0	34	0	0	0	0	1	4
NELL1	ENSCHAG00000001429	ENSCHAT00000011056	protein_coding	0	1	0	38	0	0	0	0	34	0	0	0	0	1	4
NELL1	ENSCHAG00000001429	ENSCHAT00000011111	protein_coding	0	1	0	37	0	0	0	0	34	0	0	0	0	1	3
NELL1	ENSCHAG00000001429	ENSCHAT00000011169	protein_coding	0	1	0	34	0	0	0	0	34	0	0	0	0	1	0
NELL1	ENSCHAG00000001429	ENSCHAT00000011272	protein_coding	0	1	0	34	0	0	0	0	34	0	0	0	0	1	0
NELL1	ENSCHAG00000001429	ENSCHAT00000011397	protein_coding	0	0	0	35	0	0	0	0	35	0	0	0	0	0	0
NPBWR1	ENSCHAG00000008190	ENSCHAT00000016913	protein_coding	0	0	1	9	0	0	0	4	1	1	0	0	0	0	4
PPIF	ENSCHAG00000023601	ENSCHAT00000055624	protein_coding	0	0	0	9	0	0	0	2	2	0	0	0	0	0	5
PRDM12	ENSCHAG00000010752	ENSCHAT00000023350	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
PRDM12	ENSCHAG00000010752	ENSCHAT00000023366	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
RHBDL3	ENSCHAG00000015241	ENSCHAT00000034710	protein_coding	0	0	0	4	0	0	0	0	2	0	0	0	0	0	2
SEMA4G	ENSCHAG00000002969	ENSCHAT00000005294	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0
SEMA4G	ENSCHAG00000002969	ENSCHAT00000005396	protein_coding	0	0	0	3	0	0	0	1	2	0	0	0	0	0	0
SEMA4G	ENSCHAG00000002969	ENSCHAT00000005500	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
SGK1	ENSCHAG00000022452	ENSCHAT00000052839	protein_coding	0	0	0	5	0	0	0	3	2	0	0	0	0	0	0
SGK1	ENSCHAG00000022452	ENSCHAT00000052857	protein_coding	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0
SGK1	ENSCHAG00000022452	ENSCHAT00000052915	protein_coding	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0
SGK1	ENSCHAG00000022452	ENSCHAT00000052943	protein_coding	0	0	0	4	0	0	0	3	1	0	0	0	0	0	0
SLC22A7	ENSCHAG00000000286	ENSCHAT00000000463	protein_coding	0	0	0	18	0	0	0	9	0	0	0	0	0	0	9
SLC7A1	ENSCHAG00000000738	ENSCHAT00000001177	protein_coding	0	1	0	19	7	0	0	5	5	0	0	0	0	1	2
SLC7A1	ENSCHAG00000000738	ENSCHAT00000001273	protein_coding	0	1	0	19	7	0	0	5	5	0	0	0	0	1	2
SLC7A1	ENSCHAG00000000738	ENSCHAT00000001380	protein_coding	0	1	0	17	7	0	0	5	2	0	0	0	0	1	3
SNORA62	ENSCHAG00000023225	ENSCHAT00000054687	snoRNA	0	0	0	11	0	0	0	4	0	0	0	0	0	0	7
SNORA62	ENSCHAG00000023229	ENSCHAT00000054691	snoRNA	0	0	0	11	0	0	0	3	0	0	0	0	0	0	8
TWNK	ENSCHAG00000003234	ENSCHAT00000005593	protein_coding	0	0	3	9	0	0	0	2	5	3	0	0	0	0	2
U3	ENSCHAG00000011677	ENSCHAT00000025709	snoRNA	0	0	0	5	0	0	0	4	0	0	0	0	0	0	1
ZCCHC24	ENSCHAG00000023597	ENSCHAT00000055613	protein_coding	0	0	0	34	2	0	0	5	20	0	0	0	0	0	7
abl1	ENSCHAG00000010052	ENSCHAT00000022960	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	1
abl1	ENSCHAG00000010052	ENSCHAT00000023083	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	1
abl1	ENSCHAG00000010052	ENSCHAT00000023135	protein_coding	0	0	0	6	0	0	0	0	5	0	0	0	0	0	1
abl1	ENSCHAG00000010052	ENSCHAT00000023243	protein_coding	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0
ablim2	ENSCHAG00000010663	ENSCHAT00000023573	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ablim2	ENSCHAG00000010663	ENSCHAT00000023631	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
ablim2	ENSCHAG00000010663	ENSCHAT00000023704	protein_coding	0	0	0	14	0	0	0	0	12	0	0	0	0	0	2
acp5a	ENSCHAG00000025688	ENSCHAT00000061233	protein_coding	0	0	0	9	0	0	0	8	0	0	0	0	0	0	1
adipor2	ENSCHAG00000026056	ENSCHAT00000062200	protein_coding	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0
afap1	ENSCHAG00000010233	ENSCHAT00000022727	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0
afap1	ENSCHAG00000010233	ENSCHAT00000022761	protein_coding	0	0	0	12	0	0	0	1	11	0	0	0	0	0	0
afap1	ENSCHAG00000010233	ENSCHAT00000022792	protein_coding	0	0	0	10	0	0	0	1	9	0	0	0	0	0	0
afap1	ENSCHAG00000010233	ENSCHAT00000022874	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0
afap1	ENSCHAG00000010233	ENSCHAT00000022895	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0
afap1	ENSCHAG00000010233	ENSCHAT00000022983	protein_coding	0	0	0	9	0	0	0	1	8	0	0	0	0	0	0
ago3a	ENSCHAG00000001696	ENSCHAT00000019631	protein_coding	0	4	0	10	0	0	1	2	4	0	0	0	0	4	3
ago3a	ENSCHAG00000001696	ENSCHAT00000019812	protein_coding	0	5	0	7	0	0	0	2	3	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000019927	protein_coding	0	5	0	7	0	0	0	2	3	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020042	protein_coding	0	5	0	7	0	0	0	2	3	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020142	protein_coding	0	5	0	6	0	0	0	2	2	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020181	protein_coding	0	5	0	6	0	0	0	2	2	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020263	protein_coding	0	5	0	6	0	0	0	2	2	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020295	protein_coding	0	5	0	6	0	0	0	2	2	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020344	protein_coding	0	5	0	6	0	0	0	2	2	0	0	0	0	5	2
ago3a	ENSCHAG00000001696	ENSCHAT00000020414	protein_coding	0	5	0	6	0	0	0	2	2	0	0	0	0	5	2
akr1b1.2	ENSCHAG00000000879	ENSCHAT00000003136	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
akr1b1.2	ENSCHAG00000000879	ENSCHAT00000003216	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
akr1b1.2	ENSCHAG00000000879	ENSCHAT00000003331	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
akr1b1.2	ENSCHAG00000000879	ENSCHAT00000003395	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
akr1b1.2	ENSCHAG00000000879	ENSCHAT00000003428	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
akr1b1.2	ENSCHAG00000000879	ENSCHAT00000003451	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
akr7a3	ENSCHAG00000010762	ENSCHAT00000023392	protein_coding	0	0	0	5	0	0	0	3	0	0	0	0	0	0	2
aldh6a1	ENSCHAG00000006703	ENSCHAT00000014683	protein_coding	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
alg2	ENSCHAG00000000803	ENSCHAT00000001274	protein_coding	0	0	0	19	0	0	0	9	3	0	0	0	0	0	7
alg2	ENSCHAG00000000803	ENSCHAT00000001285	protein_coding	0	0	0	19	0	0	0	9	1	0	0	0	0	0	9
anapc4	ENSCHAG00000023313	ENSCHAT00000054888	protein_coding	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1
anapc4	ENSCHAG00000023313	ENSCHAT00000054928	protein_coding	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1
anapc4	ENSCHAG00000023313	ENSCHAT00000054980	protein_coding	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1
anapc4	ENSCHAG00000023313	ENSCHAT00000054999	protein_coding	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1
anapc4	ENSCHAG00000023313	ENSCHAT00000055012	protein_coding	0	1	0	2	0	0	0	0	2	0	0	1	0	0	1
ankha	ENSCHAG00000004010	ENSCHAT00000007330	protein_coding	0	0	0	14	0	0	0	7	5	0	0	0	0	0	2
ankha	ENSCHAG00000004010	ENSCHAT00000007353	protein_coding	0	0	0	14	0	0	0	7	5	0	0	0	0	0	2
ano8b	ENSCHAG00000006971	ENSCHAT00000014278	protein_coding	0	1	0	17	0	0	0	0	14	0	0	0	0	1	3
ano8b	ENSCHAG00000006971	ENSCHAT00000014323	protein_coding	0	1	0	17	0	0	0	0	14	0	0	0	0	1	3
ano8b	ENSCHAG00000006971	ENSCHAT00000014399	protein_coding	0	1	0	17	0	0	0	0	14	0	0	0	0	1	3
ano8b	ENSCHAG00000006971	ENSCHAT00000014434	protein_coding	0	1	0	17	0	0	0	0	14	0	0	0	0	1	3
apoa4a	ENSCHAG00000012113	ENSCHAT00000026881	protein_coding	0	0	0	12	0	0	0	4	1	0	0	0	0	0	7
apoa4a	ENSCHAG00000012121	ENSCHAT00000026940	protein_coding	0	0	0	11	0	0	0	6	1	0	0	0	0	0	4
arih1	ENSCHAG00000004536	ENSCHAT00000008279	protein_coding	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0
asb16	ENSCHAG00000012893	ENSCHAT00000028782	protein_coding	0	0	0	8	1	0	0	4	3	0	0	0	0	0	0
asxl1	ENSCHAG00000008933	ENSCHAT00000018695	protein_coding	0	0	0	5	0	0	0	1	3	0	0	0	0	0	1
atf7ip	ENSCHAG00000016874	ENSCHAT00000039008	protein_coding	0	0	0	4	0	0	0	1	0	0	0	0	0	0	3
atp1b1a	ENSCHAG00000001285	ENSCHAT00000002001	protein_coding	0	1	0	7	0	0	0	4	1	0	0	0	0	1	2
atrn	ENSCHAG00000013495	ENSCHAT00000035099	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000035354	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000035568	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000035885	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000035938	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000036189	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000036290	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000013495	ENSCHAT00000036317	protein_coding	0	1	1	20	0	0	0	0	15	1	0	0	0	1	5
atrn	ENSCHAG00000015998	ENSCHAT00000036772	protein_coding	0	2	1	29	0	0	0	0	27	1	0	1	0	2	2
atrn	ENSCHAG00000015998	ENSCHAT00000036896	protein_coding	0	2	1	29	0	0	0	0	27	1	0	1	0	2	2
atrn	ENSCHAG00000015998	ENSCHAT00000036916	protein_coding	0	2	1	29	0	0	0	0	27	1	0	1	0	2	2
atrn	ENSCHAG00000015998	ENSCHAT00000036949	protein_coding	0	2	1	29	0	0	0	0	27	1	0	1	0	2	2
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064234	protein_coding	0	0	1	17	0	0	0	0	16	1	0	0	0	0	1
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064302	protein_coding	0	0	1	17	0	0	0	0	16	1	0	0	0	0	1
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064314	protein_coding	0	0	1	17	0	0	0	0	16	1	0	0	0	0	1
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064337	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064349	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064405	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064423	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0
atrnl1b	ENSCHAG00000026533	ENSCHAT00000064441	protein_coding	0	0	1	16	0	0	0	0	16	1	0	0	0	0	0
atxn7l3	ENSCHAG00000012748	ENSCHAT00000028737	protein_coding	0	0	0	6	0	0	0	4	2	0	0	0	0	0	0
atxn7l3	ENSCHAG00000012748	ENSCHAT00000028769	protein_coding	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
b3gnt3.4	ENSCHAG00000004969	ENSCHAT00000009153	protein_coding	0	0	0	5	0	0	0	2	0	0	0	0	0	0	3
babam1	ENSCHAG00000006796	ENSCHAT00000013679	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	1
babam1	ENSCHAG00000006796	ENSCHAT00000013714	protein_coding	0	0	0	4	0	0	0	3	0	0	0	0	0	0	1
